native,quick,bucket,merge,bubble,insertion,selection,countingObj,gnome,shaker,lodash
1.144,4.572,10.13,17.544,18.402,5.759,7.119,0.311,9.931,9.534,6.061
1.844,2.365,5.936,6.545,15.576,6.813,7.541,0.285,10.265,21.461,9.924
1.733,2.139,5.516,5.794,14.569,6.386,7.422,0.282,10.275,8.659,5.931
1.274,2.434,5.166,1.974,14.156,5.526,7.026,0.305,10.098,9.443,6.143
1.731,1.921,5.498,2.116,13.728,5.406,9.905,0.276,10.613,8.551,4.077
1.35,1.758,5.06,2.2,13.179,5.627,7.15,0.283,9.4,9.833,3.739
1.452,1.883,5.305,2.083,13.286,5.586,6.903,0.342,10.863,8.623,3.797
2.125,1.918,5.469,3.291,23.342,9.039,7.443,0.287,9.212,10.783,3.09
1.082,1.499,5.305,6.023,14.559,5.456,6.89,0.279,10.295,8.346,3.299
1.326,1.936,5.143,2.74,17.421,6.104,7.016,0.289,9.821,9.079,4.31
1.467,1.779,5.997,3.073,14.714,6.513,8.105,0.279,9.269,13.17,3.739
1.435,1.459,5.214,2.534,13.3,5.823,6.852,0.286,9.663,8.494,4.778
6.135,1.6,8.766,2.141,13.566,5.237,6.962,0.281,9.74,9.294,4.256
1.684,1.48,5.038,3.544,18.081,5.47,6.962,0.286,9.475,9.303,3.697
1.163,1.618,5.409,2.346,13.699,6.135,7.102,0.285,9.815,8.489,5.137
1.128,1.92,5.261,3.164,15.059,8.22,6.86,0.282,10.939,11.145,4.627
1.505,1.726,5.732,1.972,13.726,5.821,7.044,0.547,9.738,8.574,5.864
1.093,2.007,5.272,2.103,13.525,5.364,6.807,0.275,9.987,8.639,3.532
1.445,1.971,5.229,2.297,14.49,5.132,7.072,0.291,9.114,8.433,3.351
1.874,1.612,5.32,3.016,14.807,5.039,7.888,0.342,9.61,8.679,3.805
1.175,2.153,6.275,1.715,14.841,5.727,9.202,0.554,12.751,17.074,5.08
2.835,2.005,5.072,1.752,20.614,24.296,8.838,0.573,10.781,8.635,4.842
1.743,7.122,4.865,2.02,14.562,5.966,8.134,0.367,9.545,8.918,3.989
1.16,1.895,5.174,6.627,13.739,5.659,7.223,0.276,9.295,9.222,4.091
1.135,1.604,5.323,2.49,15.146,6.003,7.153,0.377,14.251,8.265,4.135
1.633,1.981,7.097,2.839,13.473,5.715,6.897,0.38,12.781,8.442,4.893
1.179,1.797,5.105,1.789,14.588,5.845,7.225,0.289,9.408,8.671,3.632
1.69,1.785,6.403,2.414,15.638,5.207,7.007,0.289,9.461,8.468,4.001
3.921,1.271,6.237,2.233,13.558,6.35,7.659,0.417,9.675,8.785,4.027
1.374,1.702,5.422,2,13.524,7.751,7.11,0.287,9.853,8.74,4.036
1.927,2.082,10.109,2.083,20.018,9.797,8.916,0.309,13.472,11.461,4.097
1.181,1.805,5.186,2,14.402,5.377,7.684,0.279,11.181,8.621,4.333
2.187,2.952,6.837,2.499,16.905,5.954,7.368,0.287,10.156,8.637,5.68
1.091,1.743,7.892,1.86,16.523,5.995,9.222,0.302,13.017,9.294,6.507
2.112,2.103,9.32,2.232,13.472,5.728,7.023,0.29,9.651,11.597,4.525
1.507,1.798,5.31,3.208,15.631,8.861,8.469,0.62,12.04,8.664,4.119
1.196,1.351,5.461,3.902,20.914,8.972,18.141,0.352,10.083,8.596,3.563
1.184,1.664,9.647,2.028,13.435,5.45,7.726,0.28,9.686,8.571,4.19
