native,quick,bucket,merge,bubble,insertion,selection,counting,counting2,heap,radix,gnome,shell,shaker,lodash
13.232,5.015,7.336,11.517,374.869,34.035,80.949,3.15,2.772,14.866,20.668,149.387,4.282,108.741,20.948
11.294,5.46,7.293,9.328,320.925,35.717,83.656,13.6,8.272,29.247,23.011,147.068,3.6,101.238,24.298
10.811,4.829,7.001,10.461,308.497,35.385,82.434,3.089,2.375,13.121,20.311,152.067,3.757,103.485,22.047
10.694,3.866,7.269,10.447,303.117,48.486,82.087,3.104,2.381,12.839,21.797,161.47,3.594,107.858,23.268
12.838,4.449,8.72,9.471,367.392,40.629,85.729,2.989,2.362,14.932,18.693,170.985,3.955,104.348,24.423
14.113,4.068,9.669,11.02,314.135,34.252,81.928,3.579,2.229,12.007,19.671,150.842,4.664,97.767,22.136
11.243,12.018,7.948,14.438,494.46,40.577,84.062,2.653,2.154,14.58,19.607,153.534,3.862,109.913,20.742
12.343,4.457,6.965,10.784,349.803,40.025,90.586,2.966,2.477,13.541,19.385,164.104,4.099,105.182,22.388
11.242,5.502,7.012,10.594,314.354,42.793,81.674,3.286,2.501,14.066,19.875,159.115,3.641,104.263,29.149
12.207,5.226,7.535,9.69,324.165,35.292,86.711,3.034,2.334,15.661,18.971,144.645,3.513,105.326,28.292
11.571,4.469,9.804,11.161,348.697,37.375,83.416,3.081,2.418,13.97,19.159,143.103,3.501,103.554,26.328
11.262,6.091,7.311,9.422,309.536,37.193,85.911,2.974,2.566,14.882,19.488,148.289,3.705,111.214,22.806
11.959,4.636,7.535,9.842,307.848,42.627,82.85,3.032,2.399,13.623,24.569,160.015,3.635,113.763,22.252
11.508,5.292,8.68,14.903,308.641,35.348,82.065,2.979,2.579,14.976,20.378,142.717,3.468,104.061,25.97
12.325,4.464,11.374,10.502,356.828,39.337,84.609,3.027,2.318,13.947,20.508,142.129,3.562,103.449,24.965
13.979,4.584,7.561,11.258,302.026,36.364,83.84,3.028,2.345,13.273,22.232,148.749,6.448,120.932,22.257
12.243,5.02,7.164,9.143,308.705,36.259,83.504,3.149,2.592,15.369,19.534,165.182,4.17,112.089,24.17
12.552,5.744,7.32,8.774,303.242,35.468,120.448,3.183,2.641,15.265,20.307,157.092,3.727,112.308,24.26
13.687,4.014,7.257,9.979,326.619,35.727,83.237,3.004,2.363,14.338,19.395,161.178,4.117,105.318,23.667
10.798,6.084,7.215,8.889,354.329,35.094,84.016,3.376,2.518,14.325,19.693,155.059,3.789,115.538,41.513
10.695,5.133,7.166,9.587,312.603,34.935,83.475,3.745,2.33,14.309,20.381,157.937,3.529,110.079,24.842
12.165,4.807,7.826,9.729,306.45,36.032,82.316,3.254,2.35,13.428,26.827,140.306,3.628,103.083,22.834
11.61,4.792,8.72,9.069,314.204,35.813,84.815,3.175,2.236,13.503,19.879,157.62,3.637,102.978,24.147
11.661,5.115,6.976,9.376,315.257,35.857,82.055,3.184,2.405,15.85,19.75,154.235,4.862,110.608,25.836
11.809,5.271,7.834,10.538,300.495,34.894,83.302,3.162,2.801,13.852,18.565,161.486,3.778,113.626,24.083
12.04,5.636,8.549,10.312,299.774,34.893,82.793,3.14,2.423,13.555,18.786,152.787,4.016,107.936,26.456
11.289,4.075,7.308,10.584,310.172,37.13,81.502,3.08,2.478,13.387,22.875,160.085,3.558,106.847,25.637
11.752,3.985,8.744,9.45,316.206,35.172,87.391,3.183,2.594,13.725,18.831,143.893,3.508,105.102,24.054
12.316,8.298,7.577,10.863,347.148,39.409,92.71,3.171,2.373,13.552,20.088,142.288,3.541,113.169,26.087
11.752,4.551,7.364,8.806,360.333,34.708,83.648,3.13,2.406,13.535,19.796,153.791,3.692,104.295,23.153
11.323,5.084,6.951,8.665,300.992,36.575,83.846,3.041,2.351,13.921,19.417,153.515,3.51,105.928,24.357
11.198,5.566,7.227,10.278,321.959,38.27,83.092,3.064,2.745,15.897,23.197,159.135,3.709,105.25,31.092
11.206,4.16,7.546,11.682,349.597,36.379,94.366,3.055,2.382,13.909,18.774,147.848,3.49,103.657,27.903
11.509,3.92,7.27,8.875,308.467,36.465,84.368,3.108,2.509,13.194,20.396,166.693,3.892,102.974,25.091
10.984,4.876,7.264,9.145,314.731,37.592,82.406,3.123,2.513,13.701,21.206,158.757,4.541,110.134,22.242
11.691,5.181,7.609,9.026,359.254,34.773,83.111,3.059,2.315,14.07,18.536,144.275,3.465,107.847,22.655
11.131,5.036,7.206,11.334,319.375,52.699,98.88,3.017,2.513,15.44,19.341,141.334,3.639,111.144,27.728
13.882,4.75,7.3,10.336,306.565,39.015,82.363,3.057,2.349,15.081,24.656,156.522,3.523,107.882,25.44
11.297,8.91,7.104,10.54,304.891,40.847,84.122,3.806,2.577,13.325,26.356,153.165,3.529,112.185,25.786
13.816,5.931,7.405,10.059,310.354,38.126,82.881,3.067,2.523,17.488,27.917,140.185,3.658,106.281,24.113
13.472,5.898,7.417,10.324,312.467,36.738,82.393,2.984,2.619,13.51,20.361,153.51,3.658,103.778,25.2
11.466,4.858,7.243,8.81,315.773,34.599,82,3.446,2.621,13.447,19.917,170.092,4.159,113.44,25.158
11,5.219,7.18,9.074,347.897,38.882,84.999,3.098,2.356,15.758,19.948,146.689,3.829,104.276,27.566
12.193,4.83,7.293,8.679,312.284,35.628,81.486,3.169,2.487,13.947,24.06,144.605,3.473,104.489,22.795
11.351,4.776,8.071,10.538,305.263,36.177,92.986,3.311,2.47,14.868,21.285,155.721,3.499,104.077,24.033
16.48,5.209,12.6,10.542,348.946,36.198,83.409,3.378,3.101,16.481,19.525,159.144,3.546,107.762,27.772
11.887,4.256,7.014,10.373,304.991,38.716,82.941,3.361,2.351,13.633,19.458,152.201,4.109,108.71,22.722
11.609,4.781,8.262,9.455,318.38,36.023,85.509,3.223,2.532,13.988,25.384,142.276,3.66,106.937,21.931
12.278,3.932,7.416,9.233,310.844,36.148,84.065,3.223,2.396,15.303,20.718,160.139,3.729,107.908,25.089
12.628,5.069,7.471,10.324,313.083,47.449,84.364,3.152,2.371,18.524,20.86,159.905,3.617,128.881,26.519
11.719,6.76,6.924,9.143,312.445,36.141,82.977,3.112,3.142,14.371,19.839,149.853,3.932,116.918,38.791
12.95,4.708,10.476,16.984,507.951,38.011,81.49,2.97,2.376,14.862,28.577,153.351,3.575,109.329,22.124
11.097,4.005,6.969,9.761,312.252,36.644,83.023,3.093,2.553,13.468,21.585,142.717,3.69,105.782,26.409
10.938,3.763,7.273,8.929,313.955,41.001,85.25,3.064,2.332,14.597,19.582,150.048,3.478,108.073,20.13
12.195,4.181,8.194,9.219,317.294,35.005,95.819,3.102,2.32,13.43,19.204,157.661,3.626,104.56,26.361
10.801,4.989,6.961,8.799,347.554,35.705,83.92,3.188,2.685,15.314,30.159,191.764,4.218,110.293,28.927
12.197,3.958,7.366,9.915,348.271,35.951,84.939,3.037,2.428,14.532,19.653,155.341,3.584,105.117,26.629
16.019,4.829,7.065,10.271,312.022,36.832,83.072,3.073,2.406,14.396,24.671,160.902,3.691,106.56,22.433
13.768,4.906,8.761,9.972,314.089,35.895,85.799,2.965,2.342,14.005,23.768,163.53,3.579,123.142,26.282
11.22,4.952,7.222,9.725,326.597,37.527,84.807,3.516,2.716,12.617,18.633,162.783,3.688,110.679,22.352
11.872,4.827,7.135,9.463,314.394,34.481,83.14,2.961,2.388,15.477,19.659,155.607,3.536,117.575,24.748
11.411,4.967,7.008,9.867,312.576,48.133,87.863,4.836,2.712,14.748,21.697,172.425,3.454,108.053,23.985
10.927,4.636,8.302,10.08,320.719,35.774,86.724,3.169,2.517,13.586,19.562,140.701,3.655,104.367,31.668
12.325,3.875,7.827,9.293,322.897,35.679,86.068,3.101,2.534,14.085,19.175,162.016,3.786,110.321,20.963
10.185,4.251,7.05,9.093,352.694,35.243,82.454,4.145,2.569,16.92,31.996,159.598,3.959,108.073,30.598
10.928,4.905,7.055,9.262,310.544,34.656,82.47,3.238,2.879,18.941,24.506,157.535,4.128,104.966,23.093
11.701,5.426,7.59,11.337,339.346,34.44,81.991,3.591,2.979,14.025,20.463,151.337,3.618,140.695,26.984
12.569,3.873,7.357,10.209,304.285,40.339,83.437,3.504,2.389,14.192,19.621,155.902,3.6,106.776,27.966
11.748,5.306,7.34,9.396,349.66,46.32,85.869,3.16,2.349,13.323,18.609,144.023,3.567,104.633,28.581
10.713,5.309,7.139,8.819,357.444,34.88,83.126,3.058,2.373,14.019,19.426,158.284,3.58,131.006,26.772
10.987,6.325,7.205,12.771,312.229,35.728,84.519,3.259,2.351,14.355,23.595,166.597,3.519,107.552,25.183
11.478,5.891,8.02,11.407,326.22,34.822,82.701,3.963,2.947,15.141,19.166,209.189,4.85,108.003,25.11
11.05,4.822,7.083,9.38,312.668,35.585,83.888,3.344,2.446,15.023,19.189,171.205,3.853,107.114,26.261
11.952,5.964,7.2,10.432,318.866,41.957,81.696,3.003,2.555,13.304,22.168,139.433,3.942,104.26,25.22
11.486,4.934,9.059,10.908,310.32,36.994,96.353,3.418,2.45,13.707,18.934,146.451,3.487,102.792,22.975
12.341,3.923,9.571,10.519,327.483,65.191,85.168,3.156,2.611,15.192,20.295,166.756,3.87,112.483,28.531
12.088,4.954,7.007,11.054,390.714,40.118,93.144,5.199,3.971,38.499,36.162,188.792,4.248,113.582,24.837
12.146,4.436,7.768,10.62,329.216,55.227,93.358,4.671,3.036,17.61,19.84,137.977,3.821,104.651,24.361
